name,area,sub_area,postcode,surface,category,markings
Longley Park,Sheffield,South Yorkshire,S5 7JP,,Limited Full Court,No
Richmond Park,Sheffield,South Yorkshire,S13 8LF,,Full Court,Yes
Gleadless Common Recreation Ground,Sheffield,South Yorkshire,S12 2UR,,Limited Half Court,No
Hansworth Recreation Ground,Sheffield,South Yorkshire,S13 9AT,,Halfcourt,Yes
Hillsborough Park,Sheffield,South Yorkshire,S6 4HD,,Limited Full Court,No
Spider Park,Sheffield,South Yorkshire,S10 4JD,,Limited Half Court,No
Forge Valley Sports Centre,Sheffield,Stannington,S6 5HG,,Limited Full Court,No
Firs Hill School,Firshill,Sheffield,S3 9AN,,?,Yes
High Hazels Park,Sheffield,South Yorkshire,S9 4DE,,Limited Full Court,No
Parson Cross Park,Parson Cross,Sheffield,S5 8AL,,Limited Full Court,No
Tapton High School,Crosspool,Sheffield,S10 5RG,,Limited Full Court,No
Badger Park ,Handsworth,Sheffield,S13 9QA,,Limited Half Court,No
Brightside Recreation Ground,Sheffield,South Yorkshire,S9 1BH,,Halfcourt,Yes
Heritage Park Community School,Sheffield,South Yorkshire,S2 2RU,,Full Court,Yes
Colley Park,Sheffield,South Yorkshire,S5 9AG,,Full Court,Yes
Brightside Recreation Ground,Sheffield,South Yorkshire,S9 1BH,,Halfcourt,Yes
Heritage Park Community School,Sheffield,South Yorkshire,S2 2RU,,Full Court,Yes
Colley Park,Sheffield,South Yorkshire,S5 9AG,,Full Court,Yes
Dore Recreation Ground,Dore,Sheffield,S17 3GD,,Limited Half Court,No
Ecclesfield Park,Ecclesfield,Sheffield,S11 9QD,,Limited Full Court,No
Green Oak Recreation Ground,Sheffield,South Yorkshire,S17 4HA,,Limited Full Court,No
Greenhill Park,Sheffield,South Yorkshire,S8 7HN,,Full Court,Yes
Greengate Lane Primary School,Sheffield,South Yorkshire,S35 3GT,,Full Court,Yes
Thorncliffe Recreation Ground,High Green,Sheffield,S35 3HS,,Full Court,Yes
Tinsley Green Recreation Ground,Tinsley,Sheffield,S9 1SG,,Full Court,Yes
Tunwell Park,Ecclesfield,Sheffield,S5 9FD,,Full Court,Yes
Woodhouse Recreation Ground,Dronfield,Sheffield,S18 8XF,,Full Court,Yes
Andover Street Court,Sheffield,South Yorkshire,S3 ,,Limited Full Court,No
Victoria Street Court,Sheffield,South Yorkshire,S3 7RZ,,Limited Full Court,No
Holberry Open Space,Sheffield,South Yorkshire,S3 7SQ,,Limited Half Court,No
Deer Park,Sheffield,Sheffield,S6 5NN,,Limited Half Court,No
Archer Gate Field,Loxley,Sheffield,S6 6AR,,Limited Half Court,No
Frecheville ,Sheffield,South Yorkshire,S12 4XT,,Limited Full Court,No
Wensley Street Open Field,Sheffield,South Yorkshire,S4 8AD,,Limited Full Court,No
Wincobank Open Space,Sheffield,South Yorkshire,S4 8AD,,Limited Full Court,No
Clayton Hollow Open Space,Sheffield,South Yorkshire,S20 7NA,,Limited Full Court,No
St Mary's Church,Sheffield,South Yorkshire,S2 2PL,,Limited Full Court,No
Pipworth Community Primary School,Sheffield,South Yorkshire,S2 1AA,,?,Yes
Lound Junior School,Sheffield,South Yorkshire,S35 2UT,,Full Court,Yes
St Thomas of Canturbury Catholic Primary School,Sheffield,South Yorkshire,S8 7TR,,Limited Full Court,No
Acres Hill Primary School,Sheffield,,S9 4GQ,A,Full Court,Yes
Woodthorpe Primary School,Sheffield,,S13 8DD,A,Full Court,Yes
Fir Vale School,Sheffield,,S4 8GB,A,Full Court,Yes
Hinde House School,Sheffield,,S5 6AG,G,Full Court,Yes
Yewlands School,Grenoside,Sheffield,S35 8NN,A,Full Court,Yes
Chaucer Secondary School,Sheffield,,S5 8NH,A,Limited Full Court,No
Firth Park School,Sheffield,,S5 0SD,A,Full Court,Yes
Parkwood High School,Sheffield,,S5 8UF,A,Full Court,Yes
Porter Croft Primary School,Sheffield,,S11 8JN,A,Limited Full Court,No
Myrtle Springs School,Sheffield,,S2 2AL,A,Full Court,Yes
King Ecgbert School,Sheffield,,S17 3QN,A,Full Court,Yes
Anns Grove Primary School,Sheffield,,S2 3DJ,A,Full Court,Yes
Walkley Primary School,Walkley,Sheffield,S6 2RZ,A,Full Court,Yes
Fox Hill Primary School,Sheffield,,S6 1AZ,A,Full Court,Yes
Spotswood Garage,Gleadless Valley Estate,Sheffield,S14 1LG,G,Limited Half Court,No
Duchess Rd Multi-Games Area,Shoreham Street,Sheffield,S1 4SR,G,Limited Full Court,
Nottingham Cliff Rec Grnd,Woodside,Sheffield,S3 9GY,A,Full Court,Yes
Graves T & L Centre/Sheff Coll,Sheffield,,S8 8JR,A,Limited Full Court,No
Edward Street Play Area,Netherthorpe,Sheffield,S3 7GA,G,Limited Full Court,No
Angram Bank Playing Field,High Green,Sheffield,S35,A,Limited Full Court,No
Greenhill Bradway Yth Centre,Lowedges,Sheffield,S8 7HL,A,Full Court,Yes
Rainbow Forge School,Hackenthorpe,Sheffield,S12 4LQ,G,Limited Full Court,No
Alport Road Playground,Sheffield,,S12 4RX,A,Limited Half Court,No
King Edward VII Upper School,Sheffield,,S10 2PW,P,Limited Full Court,No
Stannington Park,Stannington,Sheffield,S6 6BX,A,Limited Full Court,No
The Rec,Manor,Sheffield,S2 1HP,A,Limited Full Court,No
Bolehill Recreation Ground,Walkley Bank,Sheffield,S10 1QN,A,Full Court,Yes
Kelvin Flats,Neepsend,Sheffield,S6 3QL,A,Limited Full Court,No
Middlewood Park,Middlewood,Sheffield,S6 1UN,A,Limited Full Court,No
Mount Pleasant Park,Sheffield,,S7,G,Limited Full Court,No
Herdings Park,Gleadless,Sheffield,S14 1DA,A,Full Court,Yes
Bluestone Primary School,Norfolk Park Estate,Sheffield,S2 3SF,G,Full Court,Yes
Norfolk Park,Sheffield,,S2 2RA,A,Full Court,Yes
Broomspring Centre,Sheffield,,S10 2FD,G,Limited Half Court,No
Phillimore Park,Darnall,Sheffield,S9 5EF,A,Full Court,Yes
Batemoor Recreation Ground,Batemoor Road,Sheffield,S8,A,Limited Full Court,No
Wharncliffe Side Prim. Sch,Wharncliffe Side,Sheffield,S35 0DD,G,Limited Full Court,No
Concord Park,Shiregreen,Sheffield,S5 6AA,A,Full Court,Yes
Broadfield Park,Netheredge,Sheffield,S8 0XL,P,Full Court,Yes
Millhouses Park,Sheffield,,S8,A,Full Court,Yes
All Saints Community Centre,Sheffield,,S3 7EP,G,Full Court,Yes
Meersbrook Park,Sheffield,,S8 9FL,A,Full Court,Yes
Griffiths Rd Play Area,High Green,Sheffield,S35 3JF,G,Limited Full Court,No
Reignhead Primary School,Beighton,Sheffield,S20 1FD,G,Full Court,Yes
The Burton Street Project,57 Burton Street,Sheffield,S6 2HH,A,Full Court,Yes
Westland Road Rec Area,Sheffield,,S20 8EQ,A,Limited Half Court,No
Dore Primary School,Dore,Sheffield,S17 3QP,G,Full Court,Yes
Mather Road Playing Fields,Littledale,Sheffield,S9 4GN,G,Limited Half Court,No
Standhouse Centre,Manor,Sheffield,S2 1HX,G,Limited Full Court,No
Chelsea Park,Netheredge,Sheffield,S11 9BR,,Halfcourt,Yes
